origin,destination,distance_km,duration_min,time_of_day,hour,weather,day_type,traffic,service_type,price
Tank Bund,Abids,4.43,23,Morning,6,Clear,Weekday,Heavy,Economy,117
Charminar,Lakdikapul,6.78,17,Morning,11,Rainy,Weekday,Light,Economy,140
Botanical Garden,Abids,14.31,39,Morning,8,Clear,Weekend,Moderate,Premium,473
Botanical Garden,Kukatpally,5.28,14,Evening,20,Rainy,Weekday,Light,Premium,179
Uppal,Golconda Fort,21.97,43,Evening,17,Clear,Weekend,Light,Premium,621
Abids,Lingampally,26.08,50,Night,23,Clear,Weekday,Light,Premium,602
Lakdikapul,Botanical Garden,11.0,49,Evening,18,Clear,Weekday,Heavy,Premium,485
Ameerpet,Tank Bund,4.3,15,Afternoon,13,Clear,Weekday,Moderate,Standard,116
Banjara Hills,Miyapur,14.9,31,Afternoon,15,Rainy,Weekday,Light,Economy,263
Begumpet,Jubilee Hills,8.09,37,Morning,9,Clear,Weekday,Heavy,Premium,339
Dilsukhnagar,Tank Bund,10.57,23,Night,21,Clear,Weekday,Light,Standard,180
Begumpet,Banjara Hills,5.94,15,Afternoon,12,Clear,Weekday,Light,Premium,156
Hitech City,Film Nagar,7.75,18,Night,23,Cloudy,Weekday,Light,Standard,174
Koti,Dilsukhnagar,6.59,21,Afternoon,13,Clear,Weekday,Moderate,Standard,148
Mehdipatnam,Gachibowli,14.22,62,Evening,17,Clear,Weekend,Heavy,Premium,614
Abids,Financial District,18.48,37,Morning,11,Thunderstorm,Weekday,Light,Standard,386
Dilsukhnagar,Banjara Hills,14.59,30,Afternoon,16,Thunderstorm,Weekday,Light,Standard,321
Paradise Circle,Miyapur,19.03,38,Afternoon,15,Clear,Weekday,Light,Standard,287
Abids,Paradise Circle,7.54,35,Morning,8,Clear,Weekday,Heavy,Standard,250
Charminar,Madhapur,16.88,34,Afternoon,16,Clear,Weekday,Light,Economy,227
Botanical Garden,Mehdipatnam,10.64,31,Afternoon,13,Clear,Weekend,Moderate,Standard,228
Inorbit Mall,KPHB,8.45,19,Morning,7,Thunderstorm,Holiday,Light,Premium,402
KPHB,Kukatpally,2.68,10,Morning,6,Clear,Weekend,Light,Standard,79
Botanical Garden,Koti,15.68,32,Afternoon,15,Clear,Weekday,Light,Standard,253
Koti,Banjara Hills,8.2,19,Afternoon,15,Clear,Weekday,Light,Economy,122
Ameerpet,Madhapur,7.61,35,Evening,18,Clear,Weekday,Heavy,Premium,341
Abids,Mehdipatnam,4.79,16,Afternoon,16,Rainy,Weekday,Moderate,Premium,192
Jubilee Hills,Inorbit Mall,3.19,13,Afternoon,12,Thunderstorm,Weekday,Moderate,Economy,108
Lingampally,Inorbit Mall,12.68,56,Morning,7,Clear,Weekend,Heavy,Standard,388
Mehdipatnam,Ameerpet,6.16,16,Afternoon,13,Rainy,Weekday,Light,Standard,156
Miyapur,Tank Bund,18.04,48,Morning,5,Clear,Weekday,Moderate,Premium,429
Botanical Garden,Banjara Hills,7.52,23,Morning,11,Cloudy,Weekday,Moderate,Standard,182
Tank Bund,Lakdikapul,3.93,14,Night,22,Clear,Weekday,Moderate,Premium,160
Lingampally,Charminar,28.76,54,Evening,20,Clear,Weekday,Light,Standard,430
Madhapur,Abids,13.94,38,Morning,8,Clear,Weekday,Moderate,Economy,276
Lingampally,Botanical Garden,11.84,25,Morning,5,Cloudy,Weekday,Light,Standard,208
Banjara Hills,Secunderabad,9.94,22,Night,23,Light Rain,Weekday,Light,Economy,202
Lakdikapul,Miyapur,18.11,48,Afternoon,15,Clear,Weekday,Moderate,Premium,436
Koti,Shamshabad Airport,21.66,42,Morning,11,Thunderstorm,Weekend,Light,Premium,658
Mehdipatnam,Botanical Garden,10.64,48,Morning,7,Clear,Weekday,Heavy,Economy,269
Koti,Financial District,19.32,82,Evening,18,Clear,Weekday,Heavy,Premium,779
Ameerpet,Jubilee Hills,5.71,15,Afternoon,15,Rainy,Weekday,Light,Standard,147
Dilsukhnagar,Inorbit Mall,21.25,56,Evening,19,Clear,Weekday,Moderate,Economy,424
Ameerpet,Secunderabad,7.21,22,Afternoon,15,Clear,Weekday,Moderate,Standard,158
Abids,Miyapur,21.23,41,Night,21,Rainy,Weekend,Light,Standard,437
Tank Bund,Jubilee Hills,9.2,42,Evening,17,Cloudy,Weekday,Heavy,Standard,315
Lakdikapul,Secunderabad,8.02,19,Afternoon,15,Clear,Weekday,Light,Economy,127
Mehdipatnam,Ameerpet,6.16,16,Night,4,Rainy,Weekday,Light,Premium,233
Begumpet,Inorbit Mall,10.39,47,Night,21,Clear,Weekday,Heavy,Premium,334
Gachibowli,Shamshabad Airport,30.94,129,Morning,9,Clear,Weekday,Heavy,Economy,676
Gachibowli,Financial District,3.81,12,Night,4,Cloudy,Weekday,Light,Standard,111
Miyapur,Abids,21.23,41,Morning,11,Cloudy,Weekday,Light,Economy,280
Abids,Charminar,4.54,13,Morning,5,Clear,Weekday,Light,Standard,93
Madhapur,Financial District,8.29,38,Morning,8,Clear,Weekday,Heavy,Premium,352
Begumpet,Shamshabad Airport,29.81,56,Morning,6,Clear,Weekday,Light,Standard,463
LB Nagar,Paradise Circle,16.06,44,Night,4,Cloudy,Weekday,Moderate,Standard,383
LB Nagar,Inorbit Mall,26.44,68,Afternoon,12,Clear,Weekday,Moderate,Premium,625
Uppal,Koti,11.48,25,Afternoon,14,Cloudy,Weekday,Light,Economy,164
Charminar,Ameerpet,11.62,33,Afternoon,16,Clear,Holiday,Moderate,Premium,369
Paradise Circle,Miyapur,19.03,38,Afternoon,12,Clear,Weekday,Light,Economy,263
Madhapur,LB Nagar,26.8,69,Night,1,Clear,Weekend,Moderate,Economy,556
Koti,Kukatpally,17.71,48,Morning,6,Clear,Holiday,Moderate,Economy,357
Gachibowli,Charminar,20.73,41,Morning,11,Clear,Weekday,Light,Standard,304
Kukatpally,Hitech City,7.04,33,Evening,18,Clear,Weekday,Heavy,Premium,326
Botanical Garden,LB Nagar,27.16,114,Morning,7,Rainy,Weekday,Heavy,Economy,775
Hitech City,Charminar,18.4,79,Morning,8,Clear,Weekday,Heavy,Premium,690
Dilsukhnagar,Abids,7.67,36,Evening,17,Clear,Weekend,Heavy,Premium,385
Gachibowli,Miyapur,9.5,43,Evening,17,Clear,Weekend,Heavy,Standard,337
KPHB,Gachibowli,9.68,44,Evening,17,Cloudy,Weekday,Heavy,Premium,458
Banjara Hills,Golconda Fort,6.22,16,Night,4,Clear,Weekday,Light,Premium,196
Abids,Miyapur,21.23,56,Afternoon,12,Light Rain,Weekend,Moderate,Premium,616
Tank Bund,Lingampally,23.78,100,Morning,7,Clear,Weekday,Heavy,Standard,642
Gachibowli,LB Nagar,31.47,81,Afternoon,13,Clear,Weekday,Moderate,Economy,470
Ameerpet,Tank Bund,4.3,12,Morning,6,Clear,Weekday,Light,Standard,97
Tank Bund,Lingampally,23.78,62,Morning,7,Thunderstorm,Weekend,Moderate,Standard,765
Secunderabad,Hitech City,16.87,45,Afternoon,12,Clear,Weekend,Moderate,Premium,462
Banjara Hills,Abids,6.93,17,Morning,6,Cloudy,Weekend,Light,Standard,148
Lingampally,Paradise Circle,25.58,49,Morning,11,Cloudy,Weekday,Light,Standard,405
Koti,Charminar,3.07,12,Afternoon,14,Clear,Weekday,Moderate,Standard,88
Koti,Golconda Fort,10.76,23,Afternoon,12,Cloudy,Weekday,Light,Standard,187
Lingampally,Golconda Fort,19.48,83,Evening,18,Clear,Weekend,Heavy,Premium,806
Lingampally,Financial District,11.72,52,Evening,18,Clear,Weekday,Heavy,Economy,316
Financial District,Ameerpet,14.59,63,Evening,18,Clear,Weekday,Heavy,Standard,457
Miyapur,Mehdipatnam,18.14,78,Morning,8,Clear,Weekday,Heavy,Standard,492
Miyapur,Kukatpally,5.64,15,Afternoon,12,Cloudy,Weekday,Light,Standard,120
Koti,Lingampally,27.39,52,Afternoon,15,Rainy,Holiday,Light,Premium,845
Secunderabad,Film Nagar,11.99,26,Morning,6,Clear,Weekday,Light,Standard,192
Kukatpally,Lakdikapul,13.23,37,Evening,19,Clear,Holiday,Moderate,Premium,529
Shamshabad Airport,Golconda Fort,21.04,55,Evening,17,Clear,Weekday,Moderate,Economy,438
Golconda Fort,Shamshabad Airport,21.04,41,Afternoon,12,Clear,Weekday,Light,Premium,400
Jubilee Hills,Gachibowli,8.36,25,Morning,8,Clear,Weekday,Moderate,Economy,182
Botanical Garden,Charminar,17.36,47,Morning,7,Cloudy,Weekday,Moderate,Standard,404
Jubilee Hills,Secunderabad,12.79,36,Night,4,Clear,Weekday,Moderate,Economy,251
Lingampally,Ameerpet,19.49,52,Evening,17,Cloudy,Weekday,Moderate,Premium,640
Begumpet,Uppal,14.46,30,Afternoon,12,Clear,Weekday,Light,Economy,205
Paradise Circle,Film Nagar,11.63,52,Evening,17,Clear,Weekday,Heavy,Standard,380
LB Nagar,Mehdipatnam,17.26,74,Morning,8,Clear,Weekday,Heavy,Economy,406
Uppal,Ameerpet,16.17,70,Afternoon,13,Clear,Weekend,Heavy,Economy,365
Koti,Hitech City,17.02,73,Morning,8,Clear,Weekday,Heavy,Premium,630
Gachibowli,Dilsukhnagar,26.34,110,Evening,19,Cloudy,Weekend,Heavy,Standard,930
Miyapur,Golconda Fort,17.62,47,Morning,8,Rainy,Weekday,Moderate,Economy,422
Kukatpally,Lingampally,12.75,27,Afternoon,16,Clear,Weekday,Light,Economy,182
Madhapur,Hitech City,2.18,9,Morning,11,Rainy,Weekend,Light,Economy,74
Paradise Circle,Film Nagar,11.63,52,Afternoon,16,Clear,Weekend,Heavy,Economy,282
Lakdikapul,Charminar,6.78,17,Afternoon,12,Thunderstorm,Weekday,Light,Economy,146
Golconda Fort,Kukatpally,14.72,40,Morning,7,Cloudy,Weekday,Moderate,Economy,313
Miyapur,Hitech City,7.91,19,Evening,19,Clear,Weekend,Light,Standard,212
Paradise Circle,Uppal,10.23,23,Morning,11,Clear,Weekday,Light,Premium,226
Mehdipatnam,Golconda Fort,5.69,19,Evening,18,Clear,Weekday,Moderate,Premium,226
Koti,Secunderabad,8.72,26,Evening,17,Light Rain,Weekday,Moderate,Standard,275
Hitech City,Mehdipatnam,11.67,25,Morning,5,Clear,Weekend,Light,Standard,214
Mehdipatnam,Lakdikapul,2.28,10,Evening,18,Clear,Weekday,Moderate,Economy,82
Lakdikapul,LB Nagar,16.22,33,Night,3,Rainy,Weekday,Light,Standard,402
Botanical Garden,Hitech City,2.28,10,Morning,8,Clear,Weekend,Moderate,Economy,86
Hitech City,Lakdikapul,12.41,26,Morning,10,Clear,Weekend,Light,Economy,198
Lakdikapul,Ameerpet,4.9,17,Morning,9,Clear,Weekday,Moderate,Economy,128
Film Nagar,Uppal,19.54,52,Evening,17,Light Rain,Weekend,Moderate,Standard,624
Kukatpally,Begumpet,9.38,21,Morning,11,Clear,Weekend,Light,Economy,148
LB Nagar,Jubilee Hills,23.25,45,Morning,5,Cloudy,Weekday,Light,Standard,365
LB Nagar,Botanical Garden,27.16,114,Morning,9,Clear,Weekday,Heavy,Standard,742
Kukatpally,Tank Bund,12.6,35,Morning,8,Rainy,Weekend,Moderate,Economy,353
Shamshabad Airport,KPHB,36.94,94,Afternoon,16,Clear,Weekday,Moderate,Standard,644
Koti,Botanical Garden,15.68,43,Morning,10,Clear,Weekday,Moderate,Premium,386
Botanical Garden,Mehdipatnam,10.64,31,Morning,5,Rainy,Weekday,Moderate,Economy,228
KPHB,Financial District,13.23,58,Morning,7,Cloudy,Weekday,Heavy,Standard,390
Begumpet,Paradise Circle,4.55,16,Night,4,Rainy,Weekday,Moderate,Standard,178
Gachibowli,Hitech City,3.91,12,Afternoon,14,Light Rain,Weekday,Light,Premium,136
Ameerpet,Miyapur,13.86,60,Morning,7,Clear,Weekday,Heavy,Economy,328
Begumpet,Paradise Circle,4.55,13,Afternoon,13,Cloudy,Weekday,Light,Economy,88
Tank Bund,Botanical Garden,12.01,26,Morning,6,Clear,Weekday,Light,Standard,193
Koti,Charminar,3.07,10,Morning,10,Cloudy,Weekday,Light,Standard,78
Tank Bund,Hitech City,13.89,38,Morning,5,Clear,Weekday,Moderate,Premium,358
Abids,Secunderabad,7.49,35,Morning,8,Cloudy,Weekday,Heavy,Economy,224
Lakdikapul,Lingampally,22.75,44,Night,2,Cloudy,Weekday,Light,Economy,371
LB Nagar,Paradise Circle,16.06,33,Morning,5,Clear,Weekday,Light,Standard,252
Jubilee Hills,Hitech City,5.45,18,Afternoon,14,Clear,Weekend,Moderate,Economy,127
Lingampally,Jubilee Hills,15.83,32,Morning,6,Clear,Weekend,Light,Economy,230
Shamshabad Airport,Golconda Fort,21.04,89,Afternoon,12,Rainy,Weekday,Heavy,Standard,595
Inorbit Mall,Dilsukhnagar,21.25,90,Evening,18,Rainy,Weekday,Heavy,Economy,700
Jubilee Hills,Paradise Circle,12.35,26,Night,4,Cloudy,Weekday,Light,Economy,229
Shamshabad Airport,Uppal,29.84,56,Morning,11,Clear,Weekday,Light,Standard,464
Lingampally,Begumpet,21.15,41,Night,0,Thunderstorm,Weekend,Light,Standard,609
Hitech City,Inorbit Mall,2.34,9,Morning,10,Cloudy,Weekend,Light,Economy,69
Tank Bund,Jubilee Hills,9.2,42,Evening,18,Cloudy,Weekday,Heavy,Economy,276
Tank Bund,Paradise Circle,3.89,12,Morning,11,Clear,Weekday,Light,Premium,110
Lakdikapul,Lingampally,22.75,44,Evening,17,Clear,Weekend,Light,Premium,650
Secunderabad,Botanical Garden,14.76,30,Evening,20,Clear,Weekday,Light,Premium,317
Miyapur,Kukatpally,5.64,19,Morning,7,Thunderstorm,Weekend,Moderate,Economy,218
Golconda Fort,Mehdipatnam,5.69,28,Evening,19,Clear,Weekday,Heavy,Economy,190
Ameerpet,Financial District,14.59,63,Evening,17,Clear,Weekday,Heavy,Premium,573
Kukatpally,Koti,17.71,35,Morning,5,Clear,Weekend,Light,Standard,308
Dilsukhnagar,Gachibowli,26.34,50,Afternoon,16,Cloudy,Weekend,Light,Economy,381
KPHB,Lingampally,10.33,46,Morning,7,Clear,Weekday,Heavy,Standard,322
Dilsukhnagar,Botanical Garden,21.9,58,Evening,19,Clear,Weekday,Moderate,Premium,651
Tank Bund,Begumpet,3.41,11,Evening,20,Clear,Weekday,Light,Standard,82
Film Nagar,Ameerpet,5.57,18,Morning,9,Clear,Weekend,Moderate,Standard,171
KPHB,Tank Bund,15.18,31,Night,0,Clear,Weekend,Light,Standard,308
Financial District,Botanical Garden,8.68,40,Evening,17,Rainy,Weekday,Heavy,Standard,374
Golconda Fort,Miyapur,17.62,47,Afternoon,13,Cloudy,Weekend,Moderate,Standard,375
Secunderabad,Golconda Fort,15.71,68,Afternoon,15,Clear,Weekend,Heavy,Premium,543
Inorbit Mall,Botanical Garden,2.56,15,Evening,18,Thunderstorm,Weekday,Heavy,Economy,157
Mehdipatnam,Inorbit Mall,9.37,27,Morning,8,Rainy,Weekday,Moderate,Premium,369
LB Nagar,Koti,11.67,25,Evening,19,Clear,Holiday,Light,Standard,306
KPHB,Madhapur,6.59,31,Morning,7,Clear,Weekday,Heavy,Standard,208
Madhapur,Lingampally,12.16,54,Morning,9,Cloudy,Weekday,Heavy,Economy,336
Lingampally,Begumpet,21.15,56,Morning,6,Clear,Weekend,Moderate,Premium,534
Begumpet,Jubilee Hills,8.09,37,Morning,9,Clear,Weekday,Heavy,Economy,212
Golconda Fort,Lingampally,19.48,38,Afternoon,14,Clear,Weekday,Light,Standard,297
Madhapur,Golconda Fort,9.39,21,Afternoon,12,Cloudy,Weekday,Light,Economy,150
Banjara Hills,Golconda Fort,6.22,16,Morning,5,Clear,Weekend,Light,Premium,169
Hitech City,KPHB,6.96,22,Morning,10,Light Rain,Weekend,Moderate,Premium,268
Begumpet,Koti,9.25,42,Afternoon,12,Thunderstorm,Weekend,Heavy,Economy,325
Financial District,Abids,18.48,37,Afternoon,13,Cloudy,Weekday,Light,Standard,307
Kukatpally,Paradise Circle,13.39,37,Evening,19,Clear,Weekday,Moderate,Premium,422
Shamshabad Airport,KPHB,36.94,68,Afternoon,13,Cloudy,Holiday,Light,Premium,944
Madhapur,Shamshabad Airport,30.42,57,Afternoon,16,Rainy,Weekday,Light,Economy,467
Jubilee Hills,Charminar,12.96,36,Morning,8,Cloudy,Weekday,Moderate,Economy,283
Miyapur,Uppal,29.25,122,Afternoon,14,Clear,Weekend,Heavy,Standard,743
Botanical Garden,KPHB,5.96,29,Evening,17,Clear,Weekday,Heavy,Standard,224
Tank Bund,LB Nagar,15.78,32,Evening,20,Light Rain,Weekday,Light,Premium,381
Hitech City,Inorbit Mall,2.34,9,Afternoon,12,Clear,Weekday,Light,Economy,60
Secunderabad,Uppal,9.67,44,Morning,7,Clear,Weekday,Heavy,Economy,246
Ameerpet,Lingampally,19.49,38,Morning,5,Clear,Weekend,Light,Economy,283
Abids,KPHB,18.53,37,Afternoon,12,Cloudy,Weekday,Light,Premium,380
Paradise Circle,Miyapur,19.03,38,Evening,20,Rainy,Weekday,Light,Premium,480
Miyapur,Gachibowli,9.5,21,Afternoon,12,Clear,Weekday,Light,Economy,141
Jubilee Hills,Begumpet,8.09,24,Afternoon,13,Cloudy,Weekend,Moderate,Premium,256
Kukatpally,KPHB,2.68,11,Night,22,Clear,Weekday,Moderate,Economy,88
Dilsukhnagar,Mehdipatnam,12.21,26,Night,4,Light Rain,Weekday,Light,Premium,352
Botanical Garden,Uppal,23.93,101,Morning,7,Clear,Weekday,Heavy,Standard,640
Gachibowli,Paradise Circle,20.11,53,Evening,17,Cloudy,Holiday,Moderate,Standard,610
Mehdipatnam,Miyapur,18.14,49,Evening,17,Rainy,Weekend,Moderate,Economy,500
Financial District,Inorbit Mall,6.77,17,Afternoon,15,Clear,Weekday,Light,Standard,131
Koti,Shamshabad Airport,21.66,42,Morning,6,Clear,Weekday,Light,Standard,333
Kukatpally,Paradise Circle,13.39,59,Evening,17,Rainy,Weekday,Heavy,Standard,521
Charminar,Ameerpet,11.62,25,Morning,9,Clear,Weekend,Light,Standard,262
Hitech City,Lingampally,10.38,47,Morning,7,Clear,Weekday,Heavy,Economy,268
Golconda Fort,KPHB,15.96,32,Afternoon,13,Clear,Weekday,Light,Standard,246
Tank Bund,Shamshabad Airport,27.2,52,Morning,7,Clear,Weekend,Light,Standard,553
Kukatpally,KPHB,2.68,10,Morning,5,Clear,Weekday,Light,Standard,75
Mehdipatnam,Begumpet,7.71,36,Morning,7,Rainy,Weekday,Heavy,Premium,384
Paradise Circle,Financial District,21.28,90,Afternoon,12,Cloudy,Weekend,Heavy,Premium,712
Miyapur,LB Nagar,33.78,86,Morning,8,Clear,Weekday,Moderate,Premium,932
Begumpet,Shamshabad Airport,29.81,77,Morning,10,Clear,Weekday,Moderate,Premium,662
Tank Bund,Film Nagar,8.06,37,Afternoon,16,Cloudy,Weekday,Heavy,Standard,217
Miyapur,Golconda Fort,17.62,75,Evening,17,Cloudy,Weekday,Heavy,Standard,551
Charminar,Begumpet,12.07,53,Morning,7,Rainy,Weekday,Heavy,Standard,456
Mehdipatnam,Abids,4.79,16,Afternoon,12,Clear,Weekday,Moderate,Standard,118
Madhapur,Jubilee Hills,4.02,12,Morning,9,Clear,Weekend,Light,Economy,104
Mehdipatnam,LB Nagar,17.26,35,Morning,11,Cloudy,Weekday,Light,Economy,252
Lakdikapul,Hitech City,12.41,35,Evening,20,Clear,Weekend,Moderate,Premium,358
Botanical Garden,Film Nagar,6.93,22,Evening,17,Cloudy,Weekday,Moderate,Standard,222
Paradise Circle,Film Nagar,11.63,33,Morning,8,Clear,Weekday,Moderate,Standard,273
Koti,Gachibowli,19.8,39,Night,21,Clear,Weekend,Light,Premium,442
Lingampally,Gachibowli,8.64,40,Morning,7,Clear,Weekday,Heavy,Standard,264
Kukatpally,Begumpet,9.38,28,Afternoon,14,Cloudy,Weekday,Moderate,Standard,202
Miyapur,Golconda Fort,17.62,35,Afternoon,13,Cloudy,Holiday,Light,Economy,311
Kukatpally,Abids,16.13,33,Afternoon,13,Clear,Weekday,Light,Standard,254
Begumpet,Film Nagar,7.87,36,Evening,18,Clear,Weekday,Heavy,Premium,360
Koti,Charminar,3.07,12,Night,2,Rainy,Weekday,Moderate,Standard,137
Lakdikapul,Botanical Garden,11.0,31,Morning,5,Rainy,Weekday,Moderate,Economy,242
Ameerpet,Shamshabad Airport,28.56,54,Morning,5,Clear,Weekday,Light,Standard,420
Begumpet,KPHB,12.01,53,Morning,8,Clear,Weekday,Heavy,Standard,349
Paradise Circle,Charminar,11.9,25,Night,22,Clear,Weekend,Light,Economy,224
Paradise Circle,Ameerpet,6.73,21,Morning,11,Rainy,Weekend,Moderate,Economy,182
Kukatpally,Secunderabad,13.95,38,Morning,11,Clear,Weekday,Moderate,Premium,363
Golconda Fort,Begumpet,12.15,26,Morning,6,Clear,Holiday,Light,Premium,329
Ameerpet,Hitech City,9.75,44,Evening,17,Cloudy,Weekend,Heavy,Standard,370
KPHB,Ameerpet,11.07,32,Morning,8,Cloudy,Weekday,Moderate,Economy,245
KPHB,Gachibowli,9.68,28,Afternoon,16,Clear,Weekday,Moderate,Premium,255
LB Nagar,Miyapur,33.78,86,Morning,11,Clear,Weekday,Moderate,Standard,577
Inorbit Mall,Koti,14.79,30,Morning,11,Thunderstorm,Weekday,Light,Economy,286
Ameerpet,Lakdikapul,4.9,13,Morning,11,Clear,Weekday,Light,Premium,134
Shamshabad Airport,KPHB,36.94,68,Morning,5,Clear,Weekday,Light,Standard,552
Dilsukhnagar,Tank Bund,10.57,23,Afternoon,12,Clear,Weekday,Light,Premium,225
Tank Bund,Abids,4.43,16,Afternoon,12,Clear,Weekday,Moderate,Premium,152
Paradise Circle,Inorbit Mall,14.87,30,Morning,9,Clear,Holiday,Light,Premium,452
Begumpet,Inorbit Mall,10.39,30,Afternoon,15,Clear,Weekend,Moderate,Standard,236
Gachibowli,Lingampally,8.64,40,Afternoon,12,Clear,Weekday,Heavy,Economy,190
Miyapur,Golconda Fort,17.62,75,Evening,19,Thunderstorm,Weekday,Heavy,Premium,952
Golconda Fort,Inorbit Mall,7.72,36,Morning,7,Clear,Weekday,Heavy,Standard,251
Begumpet,Banjara Hills,5.94,15,Afternoon,15,Cloudy,Weekday,Light,Economy,99
LB Nagar,Madhapur,26.8,51,Morning,9,Cloudy,Weekend,Light,Economy,477
Abids,Shamshabad Airport,22.96,44,Morning,8,Rainy,Weekend,Light,Standard,591
Lakdikapul,Inorbit Mall,10.24,23,Night,21,Clear,Weekday,Light,Standard,183
Paradise Circle,Begumpet,4.55,16,Morning,7,Clear,Weekend,Moderate,Economy,126
Ameerpet,Koti,9.14,42,Morning,7,Thunderstorm,Weekday,Heavy,Premium,516
Secunderabad,Jubilee Hills,12.79,56,Evening,17,Rainy,Weekend,Heavy,Economy,493
Film Nagar,Inorbit Mall,5.44,18,Evening,17,Clear,Weekend,Moderate,Standard,184
Inorbit Mall,Jubilee Hills,3.19,10,Evening,17,Thunderstorm,Weekend,Light,Economy,133
Kukatpally,Abids,16.13,44,Afternoon,13,Cloudy,Weekday,Moderate,Premium,404
Financial District,Banjara Hills,12.11,26,Afternoon,16,Cloudy,Weekday,Light,Premium,269
Begumpet,Madhapur,9.64,28,Afternoon,15,Cloudy,Holiday,Moderate,Economy,212
Golconda Fort,Lakdikapul,7.88,24,Morning,11,Clear,Weekday,Moderate,Standard,166
Koti,Tank Bund,6.0,29,Evening,17,Cloudy,Weekday,Heavy,Economy,198
LB Nagar,Hitech City,28.63,120,Morning,7,Clear,Weekday,Heavy,Economy,665
Uppal,Koti,11.48,25,Night,23,Clear,Weekday,Light,Economy,196
Financial District,Abids,18.48,37,Morning,10,Clear,Weekday,Light,Standard,282
Miyapur,Shamshabad Airport,38.65,160,Afternoon,16,Rainy,Weekend,Heavy,Economy,1030
Banjara Hills,Koti,8.2,19,Afternoon,12,Clear,Weekday,Light,Economy,122
Inorbit Mall,Lingampally,12.68,35,Morning,11,Clear,Weekday,Moderate,Economy,215
LB Nagar,Inorbit Mall,26.44,111,Evening,18,Clear,Weekend,Heavy,Premium,1086
Miyapur,Secunderabad,19.59,39,Morning,11,Clear,Weekday,Light,Standard,294
Inorbit Mall,Koti,14.79,30,Afternoon,13,Clear,Weekday,Light,Standard,236
Miyapur,LB Nagar,33.78,86,Evening,17,Cloudy,Weekend,Moderate,Premium,1160
Dilsukhnagar,Shamshabad Airport,22.77,60,Evening,17,Clear,Weekday,Moderate,Premium,729
Financial District,Lingampally,11.72,52,Morning,10,Thunderstorm,Weekday,Heavy,Economy,343
Mehdipatnam,Tank Bund,6.19,16,Afternoon,16,Clear,Weekday,Light,Premium,150
Secunderabad,Begumpet,5.07,14,Evening,19,Rainy,Weekend,Light,Economy,164
Tank Bund,Financial District,18.08,77,Evening,17,Clear,Weekday,Heavy,Premium,677
Charminar,Botanical Garden,17.36,74,Evening,17,Clear,Weekday,Heavy,Economy,439
Tank Bund,Inorbit Mall,12.07,34,Morning,11,Clear,Weekday,Moderate,Premium,322
Mehdipatnam,Banjara Hills,3.27,11,Afternoon,12,Rainy,Weekday,Light,Premium,136
Lingampally,Hitech City,10.38,47,Morning,8,Cloudy,Weekday,Heavy,Economy,284
Secunderabad,Financial District,21.72,92,Evening,17,Cloudy,Weekday,Heavy,Economy,564
Shamshabad Airport,Miyapur,38.65,71,Afternoon,12,Cloudy,Weekday,Light,Standard,592
Kukatpally,Koti,17.71,35,Night,3,Clear,Weekday,Light,Premium,441
Lingampally,Dilsukhnagar,33.72,86,Morning,7,Rainy,Weekday,Moderate,Economy,764
Dilsukhnagar,Jubilee Hills,18.07,36,Morning,6,Cloudy,Weekday,Light,Economy,241
Golconda Fort,Hitech City,9.88,22,Afternoon,12,Rainy,Weekday,Light,Standard,213
Kukatpally,Inorbit Mall,7.81,24,Afternoon,16,Clear,Weekend,Moderate,Standard,179
Gachibowli,Begumpet,15.58,42,Evening,18,Cloudy,Weekend,Moderate,Standard,444
Charminar,Koti,3.07,10,Morning,5,Clear,Weekend,Light,Economy,71
Gachibowli,Paradise Circle,20.11,85,Evening,19,Clear,Weekend,Heavy,Economy,581
Charminar,Inorbit Mall,16.08,44,Morning,10,Clear,Weekday,Moderate,Standard,312
Kukatpally,Begumpet,9.38,43,Morning,9,Rainy,Weekday,Heavy,Standard,379
Abids,Golconda Fort,10.32,30,Morning,9,Clear,Weekend,Moderate,Economy,248
Paradise Circle,Koti,8.84,26,Afternoon,15,Clear,Weekday,Moderate,Economy,159
Dilsukhnagar,Gachibowli,26.34,110,Afternoon,14,Clear,Weekend,Heavy,Economy,535
Ameerpet,Uppal,16.17,33,Afternoon,12,Cloudy,Weekday,Light,Premium,342
Gachibowli,Shamshabad Airport,30.94,58,Morning,6,Clear,Weekend,Light,Premium,649
Charminar,Kukatpally,20.01,39,Morning,11,Clear,Weekday,Light,Standard,315
Shamshabad Airport,Kukatpally,35.47,66,Morning,6,Rainy,Weekday,Light,Economy,545
Banjara Hills,Financial District,12.11,53,Morning,9,Cloudy,Weekday,Heavy,Premium,474
Secunderabad,Ameerpet,7.21,22,Morning,11,Rainy,Weekday,Moderate,Standard,206
Ameerpet,Golconda Fort,9.96,45,Morning,8,Rainy,Weekend,Heavy,Premium,567
Banjara Hills,Secunderabad,9.94,22,Morning,5,Clear,Weekday,Light,Economy,146
Tank Bund,Golconda Fort,11.6,51,Morning,7,Light Rain,Weekday,Heavy,Standard,407
Paradise Circle,Ameerpet,6.73,17,Morning,5,Clear,Weekday,Light,Premium,170
Financial District,Tank Bund,18.08,36,Afternoon,15,Thunderstorm,Weekday,Light,Standard,393
Secunderabad,KPHB,16.63,34,Evening,19,Clear,Weekend,Light,Premium,474
Botanical Garden,KPHB,5.96,29,Afternoon,12,Cloudy,Weekend,Heavy,Standard,196
